chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	ATAC.start	ATAC.end	value
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763000	36763150	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763150	36763300	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763300	36763700	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763700	36763750	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763750	36763850	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763850	36763950	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36763950	36764000	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36764000	36764050	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36764050	36764100	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36764100	36764150	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36764150	36764750	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36764750	36764900	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36764900	36765300	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765300	36765450	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765450	36765600	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765600	36765650	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765650	36765750	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765750	36765800	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765800	36765850	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765850	36765900	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765900	36765950	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36765950	36766050	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766050	36766150	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766150	36766250	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766250	36766600	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766600	36766850	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766850	36766900	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766900	36766950	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36766950	36767050	6.58147
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767050	36767100	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767100	36767150	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767150	36767250	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767250	36767300	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767300	36767450	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767450	36767700	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767700	36767850	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36767850	36768200	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768200	36768250	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768250	36768400	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768400	36768450	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768450	36768500	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768500	36768550	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768550	36768650	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768650	36768750	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768750	36768800	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36768800	36769700	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36769700	36769800	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36769800	36769850	5.26518
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36769850	36769950	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36769950	36770100	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770100	36770250	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770250	36770300	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770300	36770350	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770350	36770400	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770400	36770450	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770450	36770500	2.63259
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770500	36770550	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770550	36770950	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36770950	36771000	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36771000	36771100	3.94888
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36771100	36771150	1.31629
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36771150	36771500	0
chr5	36760000	36780000	1	3	raise	late2cell-8cell	chr5	36771500	36771600	2.63259
