chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	K9me3.start	K9me3.end	value
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883573	25883664	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883664	25883810	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25883810	25884148	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884148	25884149	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884149	25884294	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884294	25884295	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884295	25884380	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884380	25884526	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884526	25884638	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884638	25884784	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884784	25884801	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884801	25884947	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25884947	25885097	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25885097	25885243	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25885243	25885879	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25885879	25886025	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25886025	25886550	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25886550	25886696	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25886696	25887384	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25887384	25887530	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25887530	25887657	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25887657	25887803	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25887803	25888750	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25888750	25888896	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25888896	25888930	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25888930	25889076	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25889076	25890548	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25890548	25890694	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25890694	25890906	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25890906	25891025	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25891025	25891052	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25891052	25891171	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25891171	25891383	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25891383	25891529	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25891529	25891873	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25891873	25892019	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892019	25892218	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892218	25892364	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892364	25892453	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892453	25892599	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892599	25892833	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892833	25892979	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25892979	25893864	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25893864	25893967	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25893967	25894010	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25894010	25894113	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25894113	25894309	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25894309	25894455	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25894455	25895232	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25895232	25895371	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25895371	25895378	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25895378	25895517	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25895517	25897124	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897124	25897247	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897247	25897270	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897270	25897393	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897393	25897713	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897713	25897854	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897854	25897859	0.10355
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25897859	25898000	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25898000	25898113	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25898113	25898259	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25898259	25898810	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25898810	25898956	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25898956	25899014	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25899014	25899160	0.05178
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25899160	25899583	0
chr14	25880000	25900000	2	1	reduce	late2cell-8cell	chr14	25899583	25899729	0.05178
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29140862	29141008	0.05178
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29141008	29141666	0
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29141666	29141812	0.05178
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29141812	29141881	0
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29141881	29142027	0.05178
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29142027	29142292	0
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29142292	29142438	0.05178
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29142438	29142458	0
chr14	29140000	29160000	2	1	reduce	late2cell-8cell	chr14	29142458	29142604	0.05178
