chr	start	end	pre.level	pos.level	group	Cell
chr2	151500000	151520000	1	2	raise	late2cell-8cell
chr2	153160000	153180000	3	2	reduce	late2cell-8cell
chr2	153280000	153300000	2	1	reduce	late2cell-8cell
chr2	153800000	153820000	3	2	reduce	late2cell-8cell
chr2	153960000	153980000	1	2	raise	late2cell-8cell
chr2	154200000	154220000	2	1	reduce	late2cell-8cell
chr2	155260000	155280000	2	1	reduce	late2cell-8cell
chr2	157600000	157620000	4	3	reduce	late2cell-8cell
chr2	158360000	158380000	1	3	raise	late2cell-8cell
chr2	158520000	158540000	1	2	raise	late2cell-8cell
chr2	160600000	160620000	1	2	raise	late2cell-8cell
chr2	161200000	161220000	4	2	reduce	late2cell-8cell
chr2	162700000	162720000	1	4	raise	late2cell-8cell
chr2	163420000	163440000	2	3	raise	late2cell-8cell
chr2	165400000	165420000	1	2	raise	late2cell-8cell
chr2	166080000	166100000	2	3	raise	late2cell-8cell
chr2	170280000	170300000	2	1	reduce	late2cell-8cell
chr2	170440000	170460000	1	2	raise	late2cell-8cell
chr2	170880000	170900000	3	5	raise	late2cell-8cell
chr2	171680000	171700000	2	1	reduce	late2cell-8cell
chr2	179900000	179920000	7	3	reduce	late2cell-8cell
chr2	181380000	181400000	1	2	raise	late2cell-8cell
chr2	181520000	181540000	2	1	reduce	late2cell-8cell
chr2	181680000	181700000	2	3	raise	late2cell-8cell
chr3	4820000	4840000	1	2	raise	late2cell-8cell
chr3	12400000	12420000	3	1	reduce	late2cell-8cell
chr3	18060000	18080000	1	2	raise	late2cell-8cell
chr3	19080000	19100000	1	2	raise	late2cell-8cell
chr3	19240000	19260000	1	2	raise	late2cell-8cell
chr3	20580000	20600000	1	3	raise	late2cell-8cell
chr3	21420000	21440000	3	2	reduce	late2cell-8cell
chr3	25700000	25720000	2	3	raise	late2cell-8cell
chr3	27280000	27300000	4	2	reduce	late2cell-8cell
chr3	27900000	27920000	2	3	raise	late2cell-8cell
chr3	28400000	28420000	2	1	reduce	late2cell-8cell
chr3	28800000	28820000	1	3	raise	late2cell-8cell
chr3	29000000	29020000	2	4	raise	late2cell-8cell
chr3	32340000	32360000	2	4	raise	late2cell-8cell
chr3	33820000	33840000	1	3	raise	late2cell-8cell
chr3	37760000	37780000	2	1	reduce	late2cell-8cell
chr3	39460000	39480000	2	1	reduce	late2cell-8cell
chr3	51500000	51520000	2	3	raise	late2cell-8cell
chr3	52260000	52280000	1	2	raise	late2cell-8cell
chr3	52980000	53000000	1	2	raise	late2cell-8cell
chr3	54540000	54560000	1	2	raise	late2cell-8cell
chr3	55080000	55100000	2	1	reduce	late2cell-8cell
chr3	55380000	55400000	1	2	raise	late2cell-8cell
chr3	58500000	58520000	1	2	raise	late2cell-8cell
chr3	63560000	63580000	2	3	raise	late2cell-8cell
chr3	67360000	67380000	3	2	reduce	late2cell-8cell
chr3	67620000	67640000	2	3	raise	late2cell-8cell
chr3	68580000	68600000	1	2	raise	late2cell-8cell
chr3	75520000	75540000	1	2	raise	late2cell-8cell
chr3	78960000	78980000	1	3	raise	late2cell-8cell
chr3	79460000	79480000	1	2	raise	late2cell-8cell
chr3	84180000	84200000	2	1	reduce	late2cell-8cell
chr3	86140000	86160000	2	3	raise	late2cell-8cell
chr3	93060000	93080000	1	3	raise	late2cell-8cell
chr3	93520000	93540000	1	2	raise	late2cell-8cell
chr3	95980000	96000000	1	2	raise	late2cell-8cell
chr3	96200000	96220000	2	1	reduce	late2cell-8cell
chr3	98580000	98600000	3	2	reduce	late2cell-8cell
chr3	102020000	102040000	1	3	raise	late2cell-8cell
chr3	102240000	102260000	2	1	reduce	late2cell-8cell
chr3	103400000	103420000	1	2	raise	late2cell-8cell
chr3	105080000	105100000	3	2	reduce	late2cell-8cell
chr3	107940000	107960000	2	1	reduce	late2cell-8cell
chr3	108400000	108420000	2	3	raise	late2cell-8cell
chr3	109520000	109540000	1	2	raise	late2cell-8cell
chr3	113120000	113140000	1	2	raise	late2cell-8cell
chr3	117980000	118000000	2	1	reduce	late2cell-8cell
chr3	121540000	121560000	1	3	raise	late2cell-8cell
chr3	121760000	121780000	2	1	reduce	late2cell-8cell
chr3	122300000	122320000	2	4	raise	late2cell-8cell
chr3	122660000	122680000	4	3	reduce	late2cell-8cell
chr3	123380000	123400000	2	1	reduce	late2cell-8cell
chr3	127640000	127660000	2	3	raise	late2cell-8cell
chr3	131300000	131320000	4	1	reduce	late2cell-8cell
chr3	135220000	135240000	2	4	raise	late2cell-8cell
chr3	137640000	137660000	2	1	reduce	late2cell-8cell
chr3	137940000	137960000	2	1	reduce	late2cell-8cell
chr3	138200000	138220000	1	2	raise	late2cell-8cell
chr3	139520000	139540000	1	2	raise	late2cell-8cell
chr3	141460000	141480000	4	3	reduce	late2cell-8cell
chr3	144740000	144760000	1	2	raise	late2cell-8cell
chr3	145160000	145180000	2	1	reduce	late2cell-8cell
chr3	145940000	145960000	3	2	reduce	late2cell-8cell
chr3	152100000	152120000	1	2	raise	late2cell-8cell
chr3	153960000	153980000	2	3	raise	late2cell-8cell
chr3	155060000	155080000	3	1	reduce	late2cell-8cell
chr3	156680000	156700000	2	3	raise	late2cell-8cell
chr4	6680000	6700000	1	2	raise	late2cell-8cell
chr4	7880000	7900000	1	2	raise	late2cell-8cell
chr4	12040000	12060000	1	2	raise	late2cell-8cell
chr4	17800000	17820000	1	2	raise	late2cell-8cell
chr4	22000000	22020000	1	2	raise	late2cell-8cell
chr4	31980000	32000000	2	1	reduce	late2cell-8cell
chr4	33720000	33740000	2	3	raise	late2cell-8cell
chr4	46200000	46220000	3	1	reduce	late2cell-8cell
chr4	48240000	48260000	1	2	raise	late2cell-8cell
chr4	48420000	48440000	3	4	raise	late2cell-8cell
chr4	49540000	49560000	1	2	raise	late2cell-8cell
chr4	50140000	50160000	1	2	raise	late2cell-8cell
chr4	58420000	58440000	1	2	raise	late2cell-8cell
chr4	58800000	58820000	2	3	raise	late2cell-8cell
chr4	58940000	58960000	1	2	raise	late2cell-8cell
chr4	59780000	59800000	2	4	raise	late2cell-8cell
chr4	62520000	62540000	3	1	reduce	late2cell-8cell
chr4	62780000	62800000	1	2	raise	late2cell-8cell
chr4	83220000	83240000	1	2	raise	late2cell-8cell
chr4	96700000	96720000	1	2	raise	late2cell-8cell
chr4	98340000	98360000	1	2	raise	late2cell-8cell
chr4	100740000	100760000	1	2	raise	late2cell-8cell
chr4	101660000	101680000	2	1	reduce	late2cell-8cell
chr4	106260000	106280000	2	3	raise	late2cell-8cell
chr4	106460000	106480000	1	2	raise	late2cell-8cell
chr4	106600000	106620000	2	1	reduce	late2cell-8cell
chr4	107200000	107220000	1	2	raise	late2cell-8cell
chr4	107900000	107920000	2	1	reduce	late2cell-8cell
chr4	109020000	109040000	2	3	raise	late2cell-8cell
chr4	111340000	111360000	1	2	raise	late2cell-8cell
chr4	116820000	116840000	2	1	reduce	late2cell-8cell
chr4	117020000	117040000	1	2	raise	late2cell-8cell
chr4	117680000	117700000	2	1	reduce	late2cell-8cell
chr4	117820000	117840000	2	3	raise	late2cell-8cell
chr4	117940000	117960000	2	1	reduce	late2cell-8cell
chr4	118100000	118120000	1	2	raise	late2cell-8cell
chr4	119240000	119260000	3	2	reduce	late2cell-8cell
chr4	121240000	121260000	1	2	raise	late2cell-8cell
chr4	126320000	126340000	3	2	reduce	late2cell-8cell
chr4	129300000	129320000	1	2	raise	late2cell-8cell
chr4	129680000	129700000	1	2	raise	late2cell-8cell
chr4	133840000	133860000	1	3	raise	late2cell-8cell
chr4	134940000	134960000	1	2	raise	late2cell-8cell
chr4	135520000	135540000	1	2	raise	late2cell-8cell
chr4	135820000	135840000	2	3	raise	late2cell-8cell
chr4	137840000	137860000	1	2	raise	late2cell-8cell
chr4	138320000	138340000	2	3	raise	late2cell-8cell
chr4	141140000	141160000	1	3	raise	late2cell-8cell
chr4	149140000	149160000	2	3	raise	late2cell-8cell
chr4	149740000	149760000	2	3	raise	late2cell-8cell
chr4	151160000	151180000	2	1	reduce	late2cell-8cell
chr4	151720000	151740000	1	2	raise	late2cell-8cell
chr4	154320000	154340000	1	2	raise	late2cell-8cell
chr4	155320000	155340000	1	3	raise	late2cell-8cell
chr5	5380000	5400000	1	2	raise	late2cell-8cell
chr5	18060000	18080000	1	2	raise	late2cell-8cell
chr5	23400000	23420000	2	1	reduce	late2cell-8cell
chr5	25620000	25640000	2	1	reduce	late2cell-8cell
chr5	26120000	26140000	1	2	raise	late2cell-8cell
chr5	28440000	28460000	1	2	raise	late2cell-8cell
chr5	33220000	33240000	1	2	raise	late2cell-8cell
chr5	34380000	34400000	2	1	reduce	late2cell-8cell
chr5	34660000	34680000	1	3	raise	late2cell-8cell
chr5	34920000	34940000	1	2	raise	late2cell-8cell
chr5	36760000	36780000	1	3	raise	late2cell-8cell
chr5	37780000	37800000	1	2	raise	late2cell-8cell
chr5	41060000	41080000	1	2	raise	late2cell-8cell
chr5	45280000	45300000	2	1	reduce	late2cell-8cell
chr5	52120000	52140000	2	3	raise	late2cell-8cell
chr5	52260000	52280000	1	2	raise	late2cell-8cell
chr5	64380000	64400000	2	3	raise	late2cell-8cell
chr5	65740000	65760000	2	1	reduce	late2cell-8cell
chr5	72160000	72180000	2	3	raise	late2cell-8cell
chr5	72900000	72920000	1	2	raise	late2cell-8cell
chr5	73420000	73440000	1	2	raise	late2cell-8cell
chr5	74120000	74140000	1	2	raise	late2cell-8cell
chr5	74320000	74340000	1	2	raise	late2cell-8cell
chr5	86200000	86220000	1	2	raise	late2cell-8cell
chr5	86860000	86880000	1	3	raise	late2cell-8cell
chr5	88520000	88540000	1	2	raise	late2cell-8cell
chr5	90380000	90400000	1	2	raise	late2cell-8cell
chr5	91940000	91960000	1	3	raise	late2cell-8cell
chr5	92420000	92440000	2	1	reduce	late2cell-8cell
chr5	94440000	94460000	1	2	raise	late2cell-8cell
chr5	99200000	99220000	1	2	raise	late2cell-8cell
chr5	101720000	101740000	1	2	raise	late2cell-8cell
chr5	105400000	105420000	2	1	reduce	late2cell-8cell
chr5	105680000	105700000	3	1	reduce	late2cell-8cell
chr5	106820000	106840000	1	3	raise	late2cell-8cell
chr5	108800000	108820000	4	2	reduce	late2cell-8cell
chr5	109600000	109620000	1	2	raise	late2cell-8cell
chr5	110060000	110080000	2	3	raise	late2cell-8cell
chr5	115480000	115500000	1	2	raise	late2cell-8cell
chr5	118280000	118300000	1	2	raise	late2cell-8cell
chr5	120800000	120820000	1	2	raise	late2cell-8cell
chr5	124760000	124780000	1	2	raise	late2cell-8cell
chr5	127960000	127980000	1	2	raise	late2cell-8cell
chr5	131440000	131460000	3	2	reduce	late2cell-8cell
chr5	132100000	132120000	1	2	raise	late2cell-8cell
chr5	134360000	134380000	1	2	raise	late2cell-8cell
chr5	136780000	136800000	1	2	raise	late2cell-8cell
chr5	137140000	137160000	1	3	raise	late2cell-8cell
chr5	140320000	140340000	1	2	raise	late2cell-8cell
chr5	142480000	142500000	2	3	raise	late2cell-8cell
chr5	142720000	142740000	2	1	reduce	late2cell-8cell
chr5	143000000	143020000	1	2	raise	late2cell-8cell
chr5	144760000	144780000	4	3	reduce	late2cell-8cell
chr5	145120000	145140000	2	3	raise	late2cell-8cell
chr5	146680000	146700000	4	2	reduce	late2cell-8cell
chr6	5620000	5640000	2	1	reduce	late2cell-8cell
chr6	12320000	12340000	2	3	raise	late2cell-8cell
chr6	13420000	13440000	1	3	raise	late2cell-8cell
chr6	18860000	18880000	2	3	raise	late2cell-8cell
chr6	23480000	23500000	2	3	raise	late2cell-8cell
chr6	24400000	24420000	1	2	raise	late2cell-8cell
chr6	25000000	25020000	2	1	reduce	late2cell-8cell
chr6	25700000	25720000	1	2	raise	late2cell-8cell
chr6	27180000	27200000	3	1	reduce	late2cell-8cell
chr6	27640000	27660000	1	2	raise	late2cell-8cell
chr6	30060000	30080000	1	2	raise	late2cell-8cell
chr6	31060000	31080000	1	2	raise	late2cell-8cell
chr6	31660000	31680000	1	3	raise	late2cell-8cell
chr6	34780000	34800000	2	1	reduce	late2cell-8cell
chr6	34940000	34960000	1	3	raise	late2cell-8cell
chr6	35140000	35160000	2	1	reduce	late2cell-8cell
chr6	35260000	35280000	3	2	reduce	late2cell-8cell
chr6	35760000	35780000	3	1	reduce	late2cell-8cell
chr6	37060000	37080000	3	5	raise	late2cell-8cell
chr6	37580000	37600000	3	2	reduce	late2cell-8cell
chr6	37900000	37920000	1	2	raise	late2cell-8cell
chr6	38380000	38400000	3	2	reduce	late2cell-8cell
chr6	38560000	38580000	2	3	raise	late2cell-8cell
chr6	39140000	39160000	2	1	reduce	late2cell-8cell
chr6	39820000	39840000	1	2	raise	late2cell-8cell
chr6	42620000	42640000	1	2	raise	late2cell-8cell
chr6	43700000	43720000	1	2	raise	late2cell-8cell
chr6	47020000	47040000	1	2	raise	late2cell-8cell
chr6	47320000	47340000	1	2	raise	late2cell-8cell
chr6	47700000	47720000	2	3	raise	late2cell-8cell
chr6	48640000	48660000	2	1	reduce	late2cell-8cell
chr6	49220000	49240000	2	1	reduce	late2cell-8cell
chr6	50560000	50580000	2	3	raise	late2cell-8cell
chr6	51200000	51220000	1	3	raise	late2cell-8cell
chr6	51380000	51400000	2	1	reduce	late2cell-8cell
chr6	51600000	51620000	3	2	reduce	late2cell-8cell
chr6	52500000	52520000	2	1	reduce	late2cell-8cell
chr6	54580000	54600000	1	2	raise	late2cell-8cell
chr6	55020000	55040000	2	1	reduce	late2cell-8cell
chr6	56940000	56960000	1	2	raise	late2cell-8cell
chr6	67320000	67340000	1	2	raise	late2cell-8cell
chr6	68940000	68960000	4	1	reduce	late2cell-8cell
chr6	72420000	72440000	2	3	raise	late2cell-8cell
chr6	72560000	72580000	1	2	raise	late2cell-8cell
chr6	83000000	83020000	3	2	reduce	late2cell-8cell
chr6	84600000	84620000	3	2	reduce	late2cell-8cell
chr6	85160000	85180000	2	3	raise	late2cell-8cell
chr6	85600000	85620000	2	3	raise	late2cell-8cell
chr6	86400000	86420000	2	1	reduce	late2cell-8cell
chr6	89680000	89700000	1	3	raise	late2cell-8cell
chr6	91160000	91180000	1	2	raise	late2cell-8cell
chr6	91300000	91320000	2	1	reduce	late2cell-8cell
chr6	91900000	91920000	2	1	reduce	late2cell-8cell
chr6	92780000	92800000	2	3	raise	late2cell-8cell
chr6	94480000	94500000	1	2	raise	late2cell-8cell
chr6	97140000	97160000	2	3	raise	late2cell-8cell
chr6	97540000	97560000	1	2	raise	late2cell-8cell
chr6	106660000	106680000	2	1	reduce	late2cell-8cell
chr6	106820000	106840000	2	3	raise	late2cell-8cell
chr6	107780000	107800000	1	2	raise	late2cell-8cell
chr6	108080000	108100000	2	3	raise	late2cell-8cell
chr6	108880000	108900000	1	2	raise	late2cell-8cell
chr6	113040000	113060000	2	3	raise	late2cell-8cell
chr6	113440000	113460000	1	2	raise	late2cell-8cell
chr6	113920000	113940000	2	1	reduce	late2cell-8cell
chr6	115800000	115820000	2	3	raise	late2cell-8cell
chr6	116020000	116040000	2	1	reduce	late2cell-8cell
chr6	116280000	116300000	1	2	raise	late2cell-8cell
chr6	117660000	117680000	2	1	reduce	late2cell-8cell
chr6	118400000	118420000	1	2	raise	late2cell-8cell
chr6	125620000	125640000	1	3	raise	late2cell-8cell
chr6	126800000	126820000	3	2	reduce	late2cell-8cell
chr6	127460000	127480000	1	2	raise	late2cell-8cell
chr6	128500000	128520000	2	1	reduce	late2cell-8cell
chr6	137000000	137020000	2	1	reduce	late2cell-8cell
chr6	142360000	142380000	1	2	raise	late2cell-8cell
chr6	143220000	143240000	1	3	raise	late2cell-8cell
chr6	144500000	144520000	2	3	raise	late2cell-8cell
chr6	146540000	146560000	3	2	reduce	late2cell-8cell
chr6	148220000	148240000	2	4	raise	late2cell-8cell
chr6	148400000	148420000	1	2	raise	late2cell-8cell
chr6	148940000	148960000	2	3	raise	late2cell-8cell
chr7	4420000	4440000	2	1	reduce	late2cell-8cell
chr7	5080000	5100000	2	3	raise	late2cell-8cell
chr7	5660000	5680000	2	1	reduce	late2cell-8cell
chr7	6140000	6160000	1	3	raise	late2cell-8cell
chr7	6580000	6600000	1	2	raise	late2cell-8cell
chr7	9880000	9900000	2	1	reduce	late2cell-8cell
chr7	11620000	11640000	3	2	reduce	late2cell-8cell
chr7	12020000	12040000	1	2	raise	late2cell-8cell
chr7	13060000	13080000	1	2	raise	late2cell-8cell
chr7	13280000	13300000	1	2	raise	late2cell-8cell
chr7	15800000	15820000	1	2	raise	late2cell-8cell
chr7	16300000	16320000	4	2	reduce	late2cell-8cell
chr7	16920000	16940000	2	3	raise	late2cell-8cell
chr7	17080000	17100000	2	5	raise	late2cell-8cell
chr7	18500000	18520000	1	2	raise	late2cell-8cell
chr7	22900000	22920000	2	1	reduce	late2cell-8cell
chr7	28880000	28900000	1	2	raise	late2cell-8cell
chr7	30640000	30660000	1	2	raise	late2cell-8cell
chr7	35280000	35300000	3	2	reduce	late2cell-8cell
chr7	37380000	37400000	1	2	raise	late2cell-8cell
chr7	43680000	43700000	1	3	raise	late2cell-8cell
chr7	45720000	45740000	1	2	raise	late2cell-8cell
chr7	47160000	47180000	3	2	reduce	late2cell-8cell
chr7	47480000	47500000	3	1	reduce	late2cell-8cell
chr7	51460000	51480000	1	2	raise	late2cell-8cell
chr7	62440000	62460000	1	2	raise	late2cell-8cell
chr7	64420000	64440000	2	1	reduce	late2cell-8cell
chr7	66100000	66120000	2	1	reduce	late2cell-8cell
chr7	67800000	67820000	1	2	raise	late2cell-8cell
chr7	76380000	76400000	2	1	reduce	late2cell-8cell
chr7	78920000	78940000	2	3	raise	late2cell-8cell
chr7	79380000	79400000	2	3	raise	late2cell-8cell
chr7	79500000	79520000	3	2	reduce	late2cell-8cell
chr7	80340000	80360000	1	3	raise	late2cell-8cell
chr7	80580000	80600000	2	1	reduce	late2cell-8cell
chr7	80720000	80740000	1	2	raise	late2cell-8cell
chr7	81360000	81380000	1	2	raise	late2cell-8cell
chr7	81960000	81980000	1	2	raise	late2cell-8cell
chr7	84600000	84620000	3	1	reduce	late2cell-8cell
chr7	91460000	91480000	1	2	raise	late2cell-8cell
chr7	97740000	97760000	1	2	raise	late2cell-8cell
chr7	99480000	99500000	1	2	raise	late2cell-8cell
chr7	101660000	101680000	1	2	raise	late2cell-8cell
chr7	102120000	102140000	1	2	raise	late2cell-8cell
chr7	102940000	102960000	1	2	raise	late2cell-8cell
chr7	107860000	107880000	3	1	reduce	late2cell-8cell
chr7	109980000	110000000	1	2	raise	late2cell-8cell
chr7	111040000	111060000	2	3	raise	late2cell-8cell
chr7	113140000	113160000	1	2	raise	late2cell-8cell
chr7	114040000	114060000	1	2	raise	late2cell-8cell
chr7	114840000	114860000	1	2	raise	late2cell-8cell
chr7	116140000	116160000	1	2	raise	late2cell-8cell
chr7	116640000	116660000	2	3	raise	late2cell-8cell
chr7	119020000	119040000	1	2	raise	late2cell-8cell
chr7	120100000	120120000	1	2	raise	late2cell-8cell
chr7	120240000	120260000	1	2	raise	late2cell-8cell
chr7	121720000	121740000	2	1	reduce	late2cell-8cell
chr7	122480000	122500000	1	2	raise	late2cell-8cell
chr7	122940000	122960000	1	2	raise	late2cell-8cell
chr7	123520000	123540000	3	2	reduce	late2cell-8cell
chr7	126820000	126840000	1	2	raise	late2cell-8cell
chr7	127220000	127240000	1	2	raise	late2cell-8cell
chr7	129640000	129660000	1	4	raise	late2cell-8cell
chr7	130160000	130180000	2	1	reduce	late2cell-8cell
chr7	133160000	133180000	1	2	raise	late2cell-8cell
chr7	133640000	133660000	1	2	raise	late2cell-8cell
chr7	135500000	135520000	1	2	raise	late2cell-8cell
chr7	139220000	139240000	1	2	raise	late2cell-8cell
chr7	140080000	140100000	1	2	raise	late2cell-8cell
chr7	140200000	140220000	2	1	reduce	late2cell-8cell
chr7	140840000	140860000	2	3	raise	late2cell-8cell
chr7	144460000	144480000	1	2	raise	late2cell-8cell
chr7	144940000	144960000	1	2	raise	late2cell-8cell
