chr.x	TAD.start	TAD.end	pre.level	pos.level	group	Cell	chr.y	K4me3.start	K4me3.end	value
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102495543	102495643	1.42
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102496143	102496243	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102497143	102497243	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102497543	102497643	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102498243	102498343	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102498343	102498443	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102498443	102498543	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102498843	102498943	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102499443	102499543	0.47
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102499543	102499643	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102499643	102499743	0.94
chr2	102480000	102500000	3	2	reduce	late2cell-8cell	chr2	102499843	102499943	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36300055	36300155	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36300255	36300355	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36302355	36302455	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36302455	36302555	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36302755	36302855	0.94
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36302855	36302955	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36302955	36303055	0.47
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303055	36303155	1.89
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303255	36303355	1.42
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303355	36303455	0.94
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303455	36303555	2.83
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303555	36303655	1.89
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303655	36303755	0.94
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303755	36303855	1.89
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303855	36303955	1.89
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36303955	36304055	1.42
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36304055	36304155	0.94
chr1	36300000	36320000	1	2	raise	late2cell-8cell	chr1	36304155	36304255	1.42
